qtr,lefttime,score,yrdln,cover,eid,season,week,team
2,2021.0,10,20.0,-1.0,2014090400,2014,1,GB
2,2021.0,10,65.0,-1.0,2014090400,2014,1,GB
2,1984.0,10,38.0,-1.0,2014090400,2014,1,GB
2,1937.0,10,38.0,-1.0,2014090400,2014,1,GB
2,1937.0,10,38.0,-1.0,2014090400,2014,1,GB
2,1920.0,10,38.0,-1.0,2014090400,2014,1,GB
2,1920.0,10,49.0,-1.0,2014090400,2014,1,GB
2,1893.0,10,55.0,-1.0,2014090400,2014,1,GB
2,1887.0,10,55.0,-1.0,2014090400,2014,1,GB
2,1881.0,10,55.0,-1.0,2014090400,2014,1,GB
2,1866.0,10,82.0,-1.0,2014090400,2014,1,GB
2,1843.0,10,78.0,-1.0,2014090400,2014,1,GB
2,1835.0,10,73.0,-1.0,2014090400,2014,1,GB
2,1827.0,10,66.0,-1.0,2014090400,2014,1,GB
2,1827.0,10,66.0,-1.0,2014090400,2014,1,GB
2,1819.0,10,66.0,-1.0,2014090400,2014,1,GB
2,1814.0,10,59.0,-1.0,2014090400,2014,1,GB
2,1814.0,10,59.0,-1.0,2014090400,2014,1,GB
2,1810.0,10,59.0,-1.0,2014090400,2014,1,GB
2,1800.0,10,59.0,-1.0,2014090400,2014,1,GB
3,1800.0,10,35.0,-1.0,2014090400,2014,1,GB
3,1795.0,10,86.0,-1.0,2014090400,2014,1,GB
3,1757.0,10,72.0,-1.0,2014090400,2014,1,GB
3,1728.0,10,63.0,-1.0,2014090400,2014,1,GB
3,1685.0,10,59.0,-1.0,2014090400,2014,1,GB
3,1680.0,10,59.0,-1.0,2014090400,2014,1,GB
3,1674.0,10,59.0,-1.0,2014090400,2014,1,GB
3,1633.0,10,53.0,-1.0,2014090400,2014,1,GB
3,1626.0,10,14.0,-1.0,2014090400,2014,1,GB
3,1614.0,10,8.0,-1.0,2014090400,2014,1,GB
3,1610.0,10,8.0,-1.0,2014090400,2014,1,GB
3,1570.0,10,3.0,-1.0,2014090400,2014,1,GB
3,1532.0,10,2.0,-1.0,2014090400,2014,1,GB
3,1528.0,10,65.0,-1.0,2014090400,2014,1,GB
3,1528.0,10,20.0,-1.0,2014090400,2014,1,GB
3,1503.0,10,22.0,-1.0,2014090400,2014,1,GB
3,1466.0,10,24.0,-1.0,2014090400,2014,1,GB
3,1447.0,10,33.0,-1.0,2014090400,2014,1,GB
3,1403.0,10,31.0,-1.0,2014090400,2014,1,GB
3,1397.0,10,31.0,-1.0,2014090400,2014,1,GB
3,1364.0,10,54.0,-1.0,2014090400,2014,1,GB
3,1339.0,10,59.0,-1.0,2014090400,2014,1,GB
3,1335.0,10,59.0,-1.0,2014090400,2014,1,GB
3,1326.0,10,59.0,-1.0,2014090400,2014,1,GB
3,1321.0,10,55.0,-1.0,2014090400,2014,1,GB
3,1283.0,10,39.0,-1.0,2014090400,2014,1,GB
3,1246.0,10,38.0,-1.0,2014090400,2014,1,GB
3,1241.0,10,38.0,-1.0,2014090400,2014,1,GB
3,1202.0,10,37.0,-1.0,2014090400,2014,1,GB
3,1193.0,10,10.0,-1.0,2014090400,2014,1,GB
3,1182.0,10,10.0,-1.0,2014090400,2014,1,GB
3,1179.0,10,53.0,-1.0,2014090400,2014,1,GB
3,1143.0,10,44.0,-1.0,2014090400,2014,1,GB
3,1103.0,10,39.0,-1.0,2014090400,2014,1,GB
3,1066.0,10,35.0,-1.0,2014090400,2014,1,GB
3,1021.0,10,26.0,-1.0,2014090400,2014,1,GB
3,1014.0,10,26.0,-1.0,2014090400,2014,1,GB
3,968.0,10,26.0,-1.0,2014090400,2014,1,GB
3,928.0,10,16.0,-1.0,2014090400,2014,1,GB
3,900.0,10,16.0,-1.0,2014090400,2014,1,GB
4,900.0,10,3.0,-1.0,2014090400,2014,1,GB
4,895.0,10,65.0,-1.0,2014090400,2014,1,GB
4,895.0,10,2.0,-1.0,2014090400,2014,1,GB
4,889.0,10,18.0,-1.0,2014090400,2014,1,GB
4,861.0,10,33.0,-1.0,2014090400,2014,1,GB
4,821.0,10,45.0,-1.0,2014090400,2014,1,GB
4,783.0,10,48.0,-1.0,2014090400,2014,1,GB
4,752.0,10,61.0,-1.0,2014090400,2014,1,GB
4,730.0,10,51.0,-1.0,2014090400,2014,1,GB
4,698.0,10,63.0,-1.0,2014090400,2014,1,GB
4,658.0,10,69.0,-1.0,2014090400,2014,1,GB
4,629.0,10,80.0,-1.0,2014090400,2014,1,GB
4,612.0,10,92.0,-1.0,2014090400,2014,1,GB
4,577.0,16,97.0,-1.0,2014090400,2014,1,GB
4,571.0,16,98.0,-1.0,2014090400,2014,1,GB
4,571.0,16,35.0,-1.0,2014090400,2014,1,GB
4,571.0,16,80.0,-1.0,2014090400,2014,1,GB
4,530.0,16,79.0,-1.0,2014090400,2014,1,GB
4,484.0,16,76.0,-1.0,2014090400,2014,1,GB
4,480.0,16,71.0,-1.0,2014090400,2014,1,GB
4,437.0,16,69.0,-1.0,2014090400,2014,1,GB
4,392.0,16,55.0,-1.0,2014090400,2014,1,GB
4,350.0,16,51.0,-1.0,2014090400,2014,1,GB
4,305.0,16,44.0,-1.0,2014090400,2014,1,GB
4,265.0,16,39.0,-1.0,2014090400,2014,1,GB
4,258.0,16,46.0,-1.0,2014090400,2014,1,GB
4,249.0,16,24.0,-1.0,2014090400,2014,1,GB
4,207.0,16,22.0,-1.0,2014090400,2014,1,GB
4,163.0,16,16.0,-1.0,2014090400,2014,1,GB
4,157.0,16,15.0,-1.0,2014090400,2014,1,GB
4,157.0,16,15.0,-1.0,2014090400,2014,1,GB
4,151.0,16,65.0,-1.0,2014090400,2014,1,GB
4,151.0,16,2.0,-1.0,2014090400,2014,1,GB
4,147.0,16,24.0,-1.0,2014090400,2014,1,GB
4,144.0,16,24.0,-1.0,2014090400,2014,1,GB
4,120.0,16,24.0,-1.0,2014090400,2014,1,GB
4,120.0,16,31.0,-1.0,2014090400,2014,1,GB
4,111.0,16,21.0,-1.0,2014090400,2014,1,GB
4,101.0,16,21.0,-1.0,2014090400,2014,1,GB
4,93.0,16,78.0,-1.0,2014090400,2014,1,GB
4,53.0,16,79.0,-1.0,2014090400,2014,1,GB
4,21.0,16,80.0,-1.0,2014090400,2014,1,GB
4,0.0,16,80.0,-1.0,2014090400,2014,1,GB
1,3698.0,0,20.0,-1.0,2014090700,2014,1,NO
1,3698.0,0,65.0,-1.0,2014090700,2014,1,NO
1,3676.0,0,25.0,-1.0,2014090700,2014,1,NO
1,3636.0,0,57.0,-1.0,2014090700,2014,1,NO
1,3604.0,0,63.0,-1.0,2014090700,2014,1,NO
1,3572.0,0,65.0,-1.0,2014090700,2014,1,NO
1,3538.0,0,82.0,-1.0,2014090700,2014,1,NO
1,3508.0,0,83.0,-1.0,2014090700,2014,1,NO
1,3482.0,0,73.0,-1.0,2014090700,2014,1,NO
1,3476.0,0,73.0,-1.0,2014090700,2014,1,NO
1,3436.0,3,87.0,-1.0,2014090700,2014,1,NO
1,3431.0,3,80.0,-1.0,2014090700,2014,1,NO
1,3431.0,3,35.0,-1.0,2014090700,2014,1,NO
1,3394.0,3,79.0,-1.0,2014090700,2014,1,NO
1,3355.0,3,76.0,-1.0,2014090700,2014,1,NO
1,3330.0,3,81.0,-1.0,2014090700,2014,1,NO
1,3325.0,3,81.0,-1.0,2014090700,2014,1,NO
1,3316.0,3,39.0,-1.0,2014090700,2014,1,NO
1,3278.0,3,41.0,-1.0,2014090700,2014,1,NO
1,3245.0,3,42.0,-1.0,2014090700,2014,1,NO
1,3205.0,3,50.0,-1.0,2014090700,2014,1,NO
1,3198.0,3,50.0,-1.0,2014090700,2014,1,NO
1,3163.0,3,54.0,-1.0,2014090700,2014,1,NO
1,3126.0,3,67.0,-1.0,2014090700,2014,1,NO
1,3095.0,3,67.0,-1.0,2014090700,2014,1,NO
1,3089.0,3,67.0,-1.0,2014090700,2014,1,NO
1,3082.0,6,67.0,-1.0,2014090700,2014,1,NO
1,3077.0,6,35.0,-1.0,2014090700,2014,1,NO
1,3072.0,6,84.0,-1.0,2014090700,2014,1,NO
1,3049.0,6,67.0,-1.0,2014090700,2014,1,NO
1,3017.0,6,64.0,-1.0,2014090700,2014,1,NO
1,2987.0,6,50.0,-1.0,2014090700,2014,1,NO
1,2951.0,6,46.0,-1.0,2014090700,2014,1,NO
1,2929.0,6,40.0,-1.0,2014090700,2014,1,NO
1,2894.0,6,37.0,-1.0,2014090700,2014,1,NO
1,2864.0,6,25.0,-1.0,2014090700,2014,1,NO
1,2854.0,6,20.0,-1.0,2014090700,2014,1,NO
1,2820.0,6,26.0,-1.0,2014090700,2014,1,NO
1,2814.0,6,26.0,-1.0,2014090700,2014,1,NO
1,2798.0,6,26.0,-1.0,2014090700,2014,1,NO
2,2798.0,6,43.0,-1.0,2014090700,2014,1,NO
2,2766.0,6,61.0,-1.0,2014090700,2014,1,NO
2,2728.0,6,82.0,-1.0,2014090700,2014,1,NO
2,2688.0,6,82.0,-1.0,2014090700,2014,1,NO
2,2648.0,6,89.0,-1.0,2014090700,2014,1,NO
2,2609.0,12,98.0,-1.0,2014090700,2014,1,NO
2,2604.0,13,98.0,-1.0,2014090700,2014,1,NO
2,2604.0,13,35.0,-1.0,2014090700,2014,1,NO
2,2604.0,13,80.0,-1.0,2014090700,2014,1,NO
2,2599.0,13,80.0,-1.0,2014090700,2014,1,NO
2,2556.0,13,78.0,-1.0,2014090700,2014,1,NO
2,2540.0,13,43.0,-1.0,2014090700,2014,1,NO
2,2504.0,13,38.0,-1.0,2014090700,2014,1,NO
2,2482.0,13,48.0,-1.0,2014090700,2014,1,NO
2,2455.0,13,31.0,-1.0,2014090700,2014,1,NO
2,2419.0,13,26.0,-1.0,2014090700,2014,1,NO
2,2375.0,13,22.0,-1.0,2014090700,2014,1,NO
2,2338.0,13,20.0,-1.0,2014090700,2014,1,NO
2,2297.0,13,20.0,-1.0,2014090700,2014,1,NO
2,2292.0,13,20.0,-1.0,2014090700,2014,1,NO
2,2292.0,13,25.0,-1.0,2014090700,2014,1,NO
2,2278.0,13,13.0,-1.0,2014090700,2014,1,NO
2,2245.0,13,10.0,-1.0,2014090700,2014,1,NO
2,2218.0,13,20.0,-1.0,2014090700,2014,1,NO
2,2181.0,13,15.0,-1.0,2014090700,2014,1,NO
2,2150.0,13,2.0,-1.0,2014090700,2014,1,NO
2,2144.0,13,65.0,-1.0,2014090700,2014,1,NO
2,2144.0,13,20.0,-1.0,2014090700,2014,1,NO
2,2144.0,13,2.0,-1.0,2014090700,2014,1,NO
2,2113.0,13,28.0,-1.0,2014090700,2014,1,NO
2,2080.0,13,35.0,-1.0,2014090700,2014,1,NO
2,2037.0,13,40.0,-1.0,2014090700,2014,1,NO
2,2018.0,13,46.0,-1.0,2014090700,2014,1,NO
2,2018.0,13,46.0,-1.0,2014090700,2014,1,NO
2,1988.0,13,59.0,-1.0,2014090700,2014,1,NO
2,1981.0,13,71.0,-1.0,2014090700,2014,1,NO
2,1977.0,13,76.0,-1.0,2014090700,2014,1,NO
2,1932.0,13,87.0,-1.0,2014090700,2014,1,NO
2,1922.0,13,87.0,-1.0,2014090700,2014,1,NO
2,1922.0,19,97.0,-1.0,2014090700,2014,1,NO
2,1918.0,20,98.0,-1.0,2014090700,2014,1,NO
2,1918.0,20,80.0,-1.0,2014090700,2014,1,NO
2,1918.0,20,35.0,-1.0,2014090700,2014,1,NO
2,1912.0,20,35.0,-1.0,2014090700,2014,1,NO
2,1912.0,20,61.0,-1.0,2014090700,2014,1,NO
2,1902.0,20,61.0,-1.0,2014090700,2014,1,NO
2,1902.0,20,22.0,-1.0,2014090700,2014,1,NO
2,1902.0,20,22.0,-1.0,2014090700,2014,1,NO
2,1902.0,20,22.0,-1.0,2014090700,2014,1,NO
3,1898.0,20,35.0,-1.0,2014090700,2014,1,NO
3,1898.0,20,80.0,-1.0,2014090700,2014,1,NO
3,1864.0,20,74.0,-1.0,2014090700,2014,1,NO
3,1841.0,20,54.0,-1.0,2014090700,2014,1,NO
3,1803.0,20,50.0,-1.0,2014090700,2014,1,NO
3,1765.0,20,39.0,-1.0,2014090700,2014,1,NO
3,1738.0,20,32.0,-1.0,2014090700,2014,1,NO
3,1716.0,20,30.0,-1.0,2014090700,2014,1,NO
3,1684.0,20,28.0,-1.0,2014090700,2014,1,NO
3,1644.0,20,28.0,-1.0,2014090700,2014,1,NO
3,1640.0,20,28.0,-1.0,2014090700,2014,1,NO
3,1597.0,20,1.0,-1.0,2014090700,2014,1,NO
3,1566.0,20,1.0,-1.0,2014090700,2014,1,NO
3,1560.0,20,2.0,-1.0,2014090700,2014,1,NO
3,1560.0,20,20.0,-1.0,2014090700,2014,1,NO
3,1560.0,20,65.0,-1.0,2014090700,2014,1,NO
3,1516.0,20,15.0,-1.0,2014090700,2014,1,NO
3,1509.0,20,36.0,-1.0,2014090700,2014,1,NO
3,1505.0,20,36.0,-1.0,2014090700,2014,1,NO
3,1488.0,20,41.0,-1.0,2014090700,2014,1,NO
