TimeSecsClass,DownClass,yrdline100Class,FavScoreDiffClass,Pmodel
20,2,1,1,0.13085026510328765
20,3,1,1,0.3431096913025487
20,4,1,1,0.348615703267646
21,1,1,1,0.29087519087329516
21,2,1,1,0.13991582574259748
21,3,1,1,0.3439025570255227
21,4,1,1,0.348615703267646
22,1,1,1,0.2896294401998662
22,2,1,1,0.12782841155685104
22,3,1,1,0.34469542274849674
22,4,1,1,0.348615703267646
23,1,1,1,0.3004711037121836
23,2,1,1,0.13991582574259748
23,3,1,1,0.34548828847147073
23,4,1,1,0.344674945670584
24,1,1,1,0.29922535303875464
24,2,1,1,0.13991582574259748
24,3,1,1,0.3462811541944447
24,4,1,1,0.348615703267646
25,1,1,1,0.2979796023653256
25,2,1,1,0.13658790717708172
25,3,1,1,0.3448860728340075
25,4,1,1,0.34058027293662746
26,1,1,1,0.2967338516918966
26,2,1,1,0.13297600600305218
26,3,1,1,0.3464758883629929
26,4,1,1,0.348615703267646
27,1,1,1,0.2873621562643956
27,2,1,1,0.13268100058453092
27,3,1,1,0.34244612998281787
27,4,1,1,0.33108103597602384
28,1,1,1,0.2907555648471555
28,2,1,1,0.1257428553910633
28,3,1,1,0.3494526170863408
28,4,1,1,0.348615703267646
29,1,1,1,0.29299659967160957
29,2,1,1,0.13991582574259748
29,3,1,1,0.3502454828093148
29,4,1,1,0.3197735750133178
30,1,1,1,0.2917508489981805
30,2,1,1,0.13991582574259748
30,3,1,1,0.3510383485322888
30,4,1,1,0.348615703267646
31,1,1,1,0.36066135489518625
31,2,1,1,0.2100720823130322
31,3,1,1,0.4099000566399511
31,4,1,1,0.41877195983808074
32,1,1,1,0.2771719334655761
32,2,1,1,0.12608194084594798
32,3,1,1,0.34964924576822937
32,4,1,1,0.348615703267646
33,1,1,1,0.2759261827921471
33,2,1,1,0.13991582574259748
33,3,1,1,0.35341694570121085
33,4,1,1,0.34551575876189433
34,1,1,1,0.27468043211871807
34,2,1,1,0.1246037938587031
34,3,1,1,0.3418276769980808
34,4,1,1,0.34542246763948825
35,1,1,1,0.27343468144528904
35,2,1,1,0.13991582574259748
35,3,1,1,0.3429152629614125
35,4,1,1,0.3365282890818996
36,1,1,1,0.28427634495760645
36,2,1,1,0.12782841155685104
36,3,1,1,0.3524259446886714
36,4,1,1,0.3446440874320875
37,1,1,1,0.27081329522532355
37,2,1,1,0.12782841155685104
37,3,1,1,0.3445009944073605
37,4,1,1,0.3365282890818996
38,1,1,1,0.2817848436107484
38,2,1,1,0.13991582574259748
38,3,1,1,0.3573812743160809
38,4,1,1,0.3456405966046333
39,1,1,1,0.28053909293731943
39,2,1,1,0.13991582574259748
39,3,1,1,0.35817414003905496
39,4,1,1,0.348615703267646
40,1,1,1,0.2792933422638904
40,2,1,1,0.13991582574259748
40,3,1,1,0.3589670057620289
40,4,1,1,0.348615703267646
41,1,1,1,0.27804759159046144
41,2,1,1,0.13991582574259748
41,3,1,1,0.359759871485003
41,4,1,1,0.344913473335728
42,1,1,1,0.2750399282939259
42,2,1,1,0.13991582574259748
42,3,1,1,0.360552737207977
42,4,1,1,0.348615703267646
43,1,1,1,0.2755560902436034
43,2,1,1,0.13991582574259748
43,3,1,1,0.36134560293095097
43,4,1,1,0.348615703267646
44,1,1,1,0.27431033957017437
