TimeSecsClass,DownClass,yrdline100Class,FavScoreDiffClass,Pmodel
30,1,2,1,0.190549032547
30,2,2,1,0.111028571242
30,3,2,1,0.139738411082
30,4,2,1,0.0578648035821
31,1,2,1,0.200708014203
31,2,2,1,0.116364275759
31,3,2,1,0.140470981055
31,4,2,1,0.0598339327502
32,1,2,1,0.202713147501
32,2,2,1,0.116619959259
32,3,2,1,0.137702983084
32,4,2,1,0.0598339327502
33,1,2,1,0.220958053216
33,2,2,1,0.127458444597
33,3,2,1,0.144977326034
33,4,2,1,0.0598339327502
34,1,2,1,0.204951183656
34,2,2,1,0.117131326261
34,3,2,1,0.138768483445
34,4,2,1,0.0578854521415
35,1,2,1,0.205735966537
35,2,2,1,0.115042077226
35,3,2,1,0.137390311381
35,4,2,1,0.0591443944362
36,1,2,1,0.208211756795
36,2,2,1,0.117642693263
36,3,2,1,0.134661540406
36,4,2,1,0.0567834632006
37,1,2,1,0.212738813993
37,2,2,1,0.117398019974
37,3,2,1,0.137065985834
37,4,2,1,0.0598339327502
38,1,2,1,0.206304542665
38,2,2,1,0.115439168035
38,3,2,1,0.134662853963
38,4,2,1,0.0542959208837
39,1,2,1,0.21674908059
39,2,2,1,0.118376992011
39,3,2,1,0.135930987428
39,4,2,1,0.0598339327502
40,1,2,1,0.218754213888
40,2,2,1,0.118665427266
40,3,2,1,0.135363488224
40,4,2,1,0.0598339327502
41,1,2,1,0.220759347187
41,2,2,1,0.118921110767
41,3,2,1,0.134795989021
41,4,2,1,0.0598339327502
42,1,2,1,0.222764480485
42,2,2,1,0.119176794268
42,3,2,1,0.134228489817
42,4,2,1,0.059512173469
43,1,2,1,0.224769613784
43,2,2,1,0.119432477769
43,3,2,1,0.132390386589
43,4,2,1,0.0573504914842
44,1,2,1,0.226774747082
44,2,2,1,0.119688161269
44,3,2,1,0.132698451094
44,4,2,1,0.0598339327502
45,1,2,1,0.22877988038
45,2,2,1,0.117018098728
45,3,2,1,0.132525992207
45,4,2,1,0.0598339327502
46,1,2,1,0.229108549892
46,2,2,1,0.120199528271
46,3,2,1,0.131958493003
46,4,2,1,0.0569343736983
47,1,2,1,0.231862957988
47,2,2,1,0.120455211772
47,3,2,1,0.128130449105
