TimeSecsClass,p1,p2,p3,p4,DownClass,yrdline100Class,FavScoreDiffClass
24,,,0.11084567003451043,,3,1,1
24,,,,,4,1,1
25,,,0.002822069125829184,,1,1,1
25,0.052304244413086134,,0.07745808394314986,,2,1,1
25,,,0.11145674099409231,,3,1,1
25,0.07391679438567186,,,,4,1,1
26,,,0.0006739708595702373,,1,1,1
26,0.11896589567527383,,0.07850064093727907,,2,1,1
26,,,0.11206781195367418,,3,1,1
26,,,,,4,1,1
27,0.18782582391095665,,,,1,1,1
27,0.10236715317446764,,0.07954319793140827,,2,1,1
27,0.14362373737373724,,0.11267888291325606,,3,1,1
27,0.4053022055562274,,,,4,1,1
28,0.0075399302479043084,,,,1,1,1
28,0.3275988102440007,,0.08058575492553746,,2,1,1
28,,,0.11328995387283794,,3,1,1
28,,,,,4,1,1
29,,,,,1,1,1
29,,,0.08162831191966667,,2,1,1
29,,,0.11390102483241982,,3,1,1
29,0.6666666666666666,,,,4,1,1
30,,,,,1,1,1
30,,,0.08267086891379588,,2,1,1
30,,,0.1145120957920017,,3,1,1
30,,,,,4,1,1
31,,,,0.10170057092860847,1,1,1
31,,,0.08371342590792508,0.10170057092860847,2,1,1
31,,0.10170057092860847,0.11512316675158357,0.10170057092860847,3,1,1
31,,,,0.10170057092860847,4,1,1
32,,0.10581088830590178,,,1,1,1
32,,0.1084583029112783,0.08475598290205427,,2,1,1
32,0.028990373381834564,,0.11573423771116545,,3,1,1
32,,,,,4,1,1
33,,0.11861972184003786,,,1,1,1
33,,,0.08579853989618348,,2,1,1
33,,,0.11634530867074733,,3,1,1
33,0.025134982473871234,,,,4,1,1
34,,0.06527133225815533,,,1,1,1
34,0.04783455982566766,,0.08684109689031269,,2,1,1
34,,0.038023810673322785,0.1169563796303292,,3,1,1
34,0.02137376152406628,,,,4,1,1
35,,0.14238596047248614,,,1,1,1
35,,,0.08788365388444189,,2,1,1
35,,0.1560549342591634,0.11756745058991108,,3,1,1
35,,0.13067128804143613,,,4,1,1
36,,,,,1,1,1
36,,0.1397680107007177,0.08892621087857108,,2,1,1
36,0.07788602726651843,,0.11817852154949296,,3,1,1
36,0.09180126608635453,,,,4,1,1
37,0.0030022027029855125,,,,1,1,1
37,,0.07207207850973417,0.08996876787270029,,2,1,1
37,,0.02079049254591683,0.11878959250907484,,3,1,1
37,,0.09486511152158432,,,4,1,1
38,,,,,1,1,1
38,,,0.0910113248668295,,2,1,1
38,,,0.11940066346865671,,3,1,1
38,,,,,4,1,1
39,,,,,1,1,1
39,,,0.0920538818609587,,2,1,1
39,,,0.12001173442823859,,3,1,1
39,,,,,4,1,1
40,,,,,1,1,1
40,,,0.09309643885508789,,2,1,1
40,,,0.12062280538782047,,3,1,1
40,,,,,4,1,1
41,,,,,1,1,1
41,,,0.0941389958492171,,2,1,1
41,,,0.12123387634740235,,3,1,1
41,0.08557458957887232,,,,4,1,1
42,0.04072544179287682,,,,1,1,1
42,,,0.09518155284334631,,2,1,1
42,,,0.12184494730698422,,3,1,1
42,,,,,4,1,1
43,,,,,1,1,1
43,,,0.09622410983747551,,2,1,1
43,,,0.1224560182665661,,3,1,1
43,,,,,4,1,1
44,,,,,1,1,1
44,,,0.0972666668316047,,2,1,1
44,0.046697048202289995,,0.12306708922614798,,3,1,1
44,,,,,4,1,1
45,,,,,1,1,1
45,,,0.09830922382573391,,2,1,1
45,,,0.12367816018572986,,3,1,1
45,0.046310832025117724,,,,4,1,1
46,,,,,1,1,1
46,,,0.09935178081986312,,2,1,1
46,,,0.12428923114531173,,3,1,1
46,0.2306198201657548,,,,4,1,1
47,,,,,1,1,1
47,,,0.10039433781399232,,2,1,1
47,0.06587824697175396,,0.12490030210489361,,3,1,1
47,,,,,4,1,1
48,0.0413604499897923,,,,1,1,1
48,0.1849530059054839,,0.10143689480812151,,2,1,1
48,,,0.1255113730644755,,3,1,1
48,0.2767569878680988,,,,4,1,1
49,0.12057620596659561,,,,1,1,1
49,0.16826158624907314,,0.10247945180225072,,2,1,1
49,0.08858845547675324,,0.12612244402405737,,3,1,1
49,0.33804544078816917,,,,4,1,1
50,,,,,1,1,1
50,,,0.10352200879637993,,2,1,1
50,0.3876313284065893,,0.12673351498363924,,3,1,1
50,0.057556308550927096,,,,4,1,1
51,,,,,1,1,1
51,0.19640300683389408,,0.10456456579050913,,2,1,1
51,,,0.12734458594322112,,3,1,1
51,0.0006107967304407325,,,,4,1,1
52,0.31368638349185085,,,,1,1,1
52,,,0.10560712278463832,,2,1,1
52,,,0.127955656902803,,3,1,1
52,0.017827968491685206,,,,4,1,1
53,,,,,1,1,1
53,0.12053503530748304,,0.10664967977876753,,2,1,1
53,0.10913329041437123,,0.12856672786238488,,3,1,1
53,,,,,4,1,1
54,0.18075004781028897,,,,1,1,1
