TimeSecsClass,p1,p2,p3,p4,DownClass,yrdline100Class,FavScoreDiffClass
10,,,0.0770209170253,,2,1,1
10,,0.0161767011562,0.0714928233711,,3,1,1
10,,,,,4,1,1
11,,0.172124363464,0.0442550897244,,1,1,1
11,,,0.0744734336127,,2,1,1
11,,0.214404584876,0.0746983469333,,3,1,1
11,,0.11708343094,,,4,1,1
12,,0.103390998182,0.0354653947438,0.0786923365345,1,1,1
12,,0.140566836991,0.0719259502001,0.0786923365345,2,1,1
12,,0.0883279939364,0.0779038704956,0.0786923365345,3,1,1
12,,0.227676184978,,0.0786923365345,4,1,1
13,,0.0995553714417,0.0266756997633,,1,1,1
13,,0.0692432763731,0.0693784667876,,2,1,1
13,,0.241555116915,0.0811093940578,,3,1,1
13,,,,,4,1,1
14,,0.0789857750218,0.0178860047827,,1,1,1
14,,0.0119670635863,0.066830983375,,2,1,1
14,,0.0139028694897,0.08431491762,,3,1,1
14,,0.0919437004948,,,4,1,1
15,,0.0193738414566,0.00909630980213,0.00162726015993,1,1,1
15,,0.182934661703,0.0642834999625,0.00162726015993,2,1,1
15,,,0.0875204411823,0.00162726015993,3,1,1
15,,0.203573685422,,0.00162726015993,4,1,1
16,,0.0149830500757,0.000306614821569,0.00749442748385,1,1,1
16,,0.189129456732,0.0617360165499,0.00749442748385,2,1,1
16,,0.0512562858804,0.0907259647445,0.00749442748385,3,1,1
16,,0.179419961786,,0.00749442748385,4,1,1
17,,0.174251480465,,,1,1,1
17,,0.181273470214,0.0591885331373,,2,1,1
17,,0.00341355427473,0.0939314883067,,3,1,1
17,,,,,4,1,1
18,,0.183135598627,,,1,1,1
18,,0.050998333538,0.0566410497248,,2,1,1
18,,0.0460340423685,0.097137011869,,3,1,1
18,,,,,4,1,1
19,,,,,1,1,1
19,,0.129557749845,0.0540935663122,,2,1,1
19,,0.0139353797049,0.100342535431,,3,1,1
19,,0.128018038136,,,4,1,1
20,,0.811430246294,,,1,1,1
20,,0.356131530261,0.0515460828997,,2,1,1
20,,,0.103548058993,,3,1,1
20,,,,,4,1,1
21,,0.605545534417,,,1,1,1
21,,0.139591742724,0.0489985994871,,2,1,1
21,,,0.106753582556,,3,1,1
21,,,,,4,1,1
22,,0.0159569436906,,,1,1,1
22,,,0.0464511160745,,2,1,1
22,,,0.109959106118,,3,1,1
22,,,,,4,1,1
23,,0.0429071439045,,,1,1,1
23,,0.0643897599171,0.043903632662,,2,1,1
23,,,0.11316462968,,3,1,1
