DownClass,FavScoreDiffClass,yrdline100Class,TimeSecsClass,counts
2,1,2,31,0.5
3,1,2,31,0.5
4,1,2,31,0.5
1,1,2,32,0.3333333333333333
2,1,2,32,0.3333333333333333
3,1,2,32,0.5
4,1,2,32,0.5
1,1,2,33,0.5
2,1,2,33,0.5
3,1,2,33,0.5
4,1,2,33,0.5
1,1,2,34,0.5
2,1,2,34,0.5
3,1,2,34,0.5
4,1,2,34,0.5
1,1,2,35,0.5
2,1,2,35,0.5
3,1,2,35,0.5
4,1,2,35,0.5
1,1,2,36,0.5
2,1,2,36,0.5
3,1,2,36,0.5
4,1,2,36,0.5
1,1,2,37,0.5
2,1,2,37,0.5
3,1,2,37,0.5
4,1,2,37,0.5
1,1,2,38,0.5
2,1,2,38,0.5
3,1,2,38,0.5
4,1,2,38,0.5
1,1,2,39,0.5
2,1,2,39,0.5
3,1,2,39,0.5
4,1,2,39,0.5
1,1,2,40,0.5
2,1,2,40,0.5
3,1,2,40,0.5
4,1,2,40,0.5
1,1,2,41,0.5
2,1,2,41,0.5
3,1,2,41,0.5
4,1,2,41,0.5
1,1,2,42,0.5
2,1,2,42,0.5
3,1,2,42,0.5
4,1,2,42,0.5
1,1,2,43,0.5
2,1,2,43,0.5
3,1,2,43,0.5
4,1,2,43,0.5
1,1,2,44,0.5
2,1,2,44,0.5
3,1,2,44,0.5
4,1,2,44,0.5
1,1,2,45,0.5
2,1,2,45,0.5
3,1,2,45,0.5
4,1,2,45,0.5
1,1,2,46,0.5
2,1,2,46,0.5
3,1,2,46,0.5
4,1,2,46,0.5
1,1,2,47,0.5
2,1,2,47,0.5
3,1,2,47,0.5
4,1,2,47,0.5
1,1,2,48,0.5
2,1,2,48,0.5
3,1,2,48,0.5
4,1,2,48,0.5
1,1,2,49,0.5
2,1,2,49,0.5
3,1,2,49,0.5
4,1,2,49,0.5
1,1,2,50,0.5
2,1,2,50,0.5
3,1,2,50,0.5
4,1,2,50,0.5
1,1,2,51,0.5
2,1,2,51,0.5
3,1,2,51,0.5
4,1,2,51,0.5
1,1,2,52,0.5
2,1,2,52,0.5
3,1,2,52,0.5
4,1,2,52,0.5
1,1,2,53,0.5
2,1,2,53,0.5
3,1,2,53,0.5
4,1,2,53,0.5
1,1,2,54,0.5
2,1,2,54,0.5
3,1,2,54,0.5
4,1,2,54,0.5
1,1,2,55,0.5
2,1,2,55,0.5
3,1,2,55,0.5
4,1,2,55,0.5
1,1,2,56,0.5
2,1,2,56,0.5
3,1,2,56,0.5
4,1,2,56,0.5
1,1,2,57,0.5
2,1,2,57,0.5
3,1,2,57,0.5
4,1,2,57,0.5
1,1,2,58,0.5
2,1,2,58,0.5
3,1,2,58,0.5
4,1,2,58,0.5
1,1,2,59,0.5
2,1,2,59,0.5
3,1,2,59,0.5
4,1,2,59,0.5
1,1,2,60,0.5
2,1,2,60,0.5
3,1,2,60,0.5
4,1,2,60,0.5
1,1,3,0,0.5
2,1,3,0,0.5
3,1,3,0,0.5
4,1,3,0,0.5
1,1,3,1,0.3333333333333333
2,1,3,1,0.5
3,1,3,1,0.5
4,1,3,1,0.5
1,1,3,2,0.5
2,1,3,2,0.5
3,1,3,2,0.5
4,1,3,2,0.5
1,1,3,3,0.5
2,1,3,3,0.5
3,1,3,3,0.5
4,1,3,3,0.3333333333333333
1,1,3,4,0.3333333333333333
2,1,3,4,0.3333333333333333
3,1,3,4,0.2
4,1,3,4,0.5
1,1,3,5,0.5
2,1,3,5,0.25
3,1,3,5,0.5
4,1,3,5,0.5
1,1,3,6,0.5
2,1,3,6,0.5
3,1,3,6,0.5
4,1,3,6,0.5
1,1,3,7,0.5
2,1,3,7,0.5
3,1,3,7,0.5
4,1,3,7,0.5
1,1,3,8,0.5
2,1,3,8,0.5
3,1,3,8,0.5
4,1,3,8,0.5
1,1,3,9,0.5
2,1,3,9,0.5
3,1,3,9,0.3333333333333333
4,1,3,9,0.5
1,1,3,10,0.5
2,1,3,10,0.5
3,1,3,10,0.5
4,1,3,10,0.5
1,1,3,11,0.5
2,1,3,11,0.3333333333333333
3,1,3,11,0.5
4,1,3,11,0.5
1,1,3,12,0.3333333333333333
2,1,3,12,0.5
3,1,3,12,0.5
4,1,3,12,0.5
1,1,3,13,0.5
2,1,3,13,0.5
3,1,3,13,0.5
4,1,3,13,0.5
1,1,3,14,0.5
2,1,3,14,0.5
3,1,3,14,0.3333333333333333
4,1,3,14,0.3333333333333333
1,1,3,15,0.5
2,1,3,15,0.25
3,1,3,15,0.5
4,1,3,15,0.5
1,1,3,16,0.25
2,1,3,16,0.5
3,1,3,16,0.5
4,1,3,16,0.5
1,1,3,17,0.25
2,1,3,17,0.3333333333333333
3,1,3,17,0.5
4,1,3,17,0.5
1,1,3,18,0.5
2,1,3,18,0.5
3,1,3,18,0.5
4,1,3,18,0.5
1,1,3,19,0.5
2,1,3,19,0.5
3,1,3,19,0.5
4,1,3,19,0.5
1,1,3,20,0.5
2,1,3,20,0.5
3,1,3,20,0.5
4,1,3,20,0.5
1,1,3,21,0.5
2,1,3,21,0.5
3,1,3,21,0.5
4,1,3,21,0.5
1,1,3,22,0.5
2,1,3,22,0.5
3,1,3,22,0.5
4,1,3,22,0.5
1,1,3,23,0.5
2,1,3,23,0.5
3,1,3,23,0.5
4,1,3,23,0.5
1,1,3,24,0.5
2,1,3,24,0.5
3,1,3,24,0.5
4,1,3,24,0.5
1,1,3,25,0.5
2,1,3,25,0.5
3,1,3,25,0.5
4,1,3,25,0.5
1,1,3,26,0.5
2,1,3,26,0.5
3,1,3,26,0.5
4,1,3,26,0.5
1,1,3,27,0.5
2,1,3,27,0.5
3,1,3,27,0.5
4,1,3,27,0.5
1,1,3,28,0.5
2,1,3,28,0.5
3,1,3,28,0.5
4,1,3,28,0.5
1,1,3,29,0.5
2,1,3,29,0.5
3,1,3,29,0.5
4,1,3,29,0.5
1,1,3,30,0.5
2,1,3,30,0.5
3,1,3,30,0.5
4,1,3,30,0.5
1,1,3,31,0.5
2,1,3,31,0.5
3,1,3,31,0.5
4,1,3,31,0.5
1,1,3,32,0.5
2,1,3,32,0.5
3,1,3,32,0.5
4,1,3,32,0.5
1,1,3,33,0.3333333333333333
2,1,3,33,0.5
3,1,3,33,0.5
4,1,3,33,0.5
1,1,3,34,0.5
2,1,3,34,0.5
3,1,3,34,0.5
4,1,3,34,0.5
1,1,3,35,0.5
2,1,3,35,0.5
3,1,3,35,0.5
4,1,3,35,0.5
1,1,3,36,0.5
2,1,3,36,0.5
3,1,3,36,0.5
4,1,3,36,0.5
1,1,3,37,0.5
2,1,3,37,0.5
3,1,3,37,0.5
4,1,3,37,0.5
